schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_110303_000,2026-08-28T11:03:03+05:30,2026-08-28T11:03:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,6a859c1d530ea22a,0.0,False,24160.45,0.0,False,266.9,24161.7,24160.45,3,24160.45,24122.6,24188.3,24106.55,24090.85,,,10.77,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110310_607,2026-08-28T11:03:10+05:30,2026-08-28T11:03:10+05:30,Asia/Kolkata,UPSTOX,2026-09-01,498e2964046f12d2,0.0,False,24160.45,0.0,False,266.8,24160.45,24160.45,1,24160.35,24122.6,24188.3,24106.55,24090.85,,,10.76,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110403_001,2026-08-28T11:04:03+05:30,2026-08-28T11:04:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,b241feecf811c161,0.0,False,24158.55,0.0,False,265.9,24160.45,24158.55,4,24158.45,24122.6,24188.3,24106.55,24090.85,,,10.76,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110502_999,2026-08-28T11:05:02+05:30,2026-08-28T11:05:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,efb240d7a075a738,0.0,False,24160.5,0.0,False,265.0,24160.5,24157.9,4,24159.9,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110603_000,2026-08-28T11:06:03+05:30,2026-08-28T11:06:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,8430cf33823f345e,0.0,False,24157.45,0.0,False,263.9,24159.6,24157.45,3,24157.2,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110703_000,2026-08-28T11:07:03+05:30,2026-08-28T11:07:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,56c87f59f6f25677,0.0,False,24154.95,0.0,False,262.9,24158.7,24154.95,3,24154.95,24122.6,24188.3,24106.55,24090.85,,,10.77,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110803_000,2026-08-28T11:08:03+05:30,2026-08-28T11:08:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,0e46395dd88eb6d2,0.0,False,24151.0,0.0,False,261.9,24153.7,24151.0,3,24151.0,24122.6,24188.3,24106.55,24090.85,,,10.69,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110902_999,2026-08-28T11:09:02+05:30,2026-08-28T11:09:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,1887247172cd230c,0.0,False,24149.9,0.0,False,261.0,24151.45,24149.9,4,24149.9,24122.6,24188.3,24106.55,24090.85,,,10.69,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111003_000,2026-08-28T11:10:03+05:30,2026-08-28T11:10:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,d34b51c981cb2f6a,0.0,False,24142.65,0.0,False,259.9,24146.75,24142.65,3,24142.9,24122.6,24188.3,24106.55,24090.85,,,10.72,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111103_000,2026-08-28T11:11:03+05:30,2026-08-28T11:11:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4832de26243e5215,0.0,False,24146.2,0.0,False,258.9,24146.2,24144.6,3,24146.25,24122.6,24188.3,24106.55,24090.85,,,10.71,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111203_000,2026-08-28T11:12:03+05:30,2026-08-28T11:12:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,da0e26bcc50b7d5d,0.0,False,24147.15,0.0,False,257.9,24147.15,24145.15,3,24146.85,24122.6,24188.3,24106.55,24090.85,,,10.73,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_111303_000,2026-08-28T11:13:03+05:30,2026-08-28T11:13:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,646d36d71cdae718,0.0,False,24156.3,0.0,False,256.9,24156.3,24150.55,3,24156.3,24122.6,24188.3,24106.55,24090.85,,,10.72,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
