time,spot,or_h,or_l,or_cond,day_h,day_l,loc,px,vol,pos,final,notes,adx,adx_m,dmu,conf,dte,choppy,fade_hi,fade_lo,fb_lo,fb_hi,action,strat,reason,in_trade
09:26:01,23466.05,,,,23592.85,23457.05,0.066,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:26:16,23459.35,,,,23592.85,23457.05,0.017,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:26:31,23463.05,,,,23592.85,23457.05,0.044,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:26:46,23467.5,,,,23592.85,23457.05,0.077,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:27:01,23460.0,,,,23592.85,23457.05,0.022,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:27:16,23460.0,,,,23592.85,23457.05,0.022,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:27:31,23464.4,,,,23592.85,23457.05,0.054,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:27:46,23464.6,,,,23592.85,23457.05,0.056,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:28:01,23460.1,,,,23592.85,23453.65,0.046,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:28:16,23460.1,,,,23592.85,23453.65,0.046,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:28:31,23458.05,,,,23592.85,23453.65,0.032,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:28:46,23460.8,,,,23592.85,23453.65,0.051,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:29:01,23456.35,,,,23592.85,23452.05,0.031,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:29:16,23453.1,,,,23592.85,23452.05,0.007,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:29:31,23454.55,,,,23592.85,23452.05,0.018,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:29:46,23456.35,,,,23592.85,23452.05,0.031,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:30:02,23462.35,,,,23592.85,23452.05,0.073,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,258.98,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:30:17,23456.9,,,,23592.85,23452.05,0.034,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,258.98,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:30:32,23462.65,,,,23592.85,23452.05,0.075,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,258.98,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:30:47,23463.45,,,,23592.85,23452.05,0.081,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,258.98,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:31:02,23463.1,,,,23592.85,23451.9,0.079,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,259.26,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:31:17,23461.4,,,,23592.85,23451.9,0.067,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,259.26,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:31:32,23459.85,,,,23592.85,23451.9,0.056,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,259.26,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:31:47,23456.35,,,,23592.85,23451.9,0.032,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,259.26,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:32:02,23450.6,,,,23592.85,23446.45,0.028,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:32:17,23447.75,,,,23592.85,23446.45,0.009,OBSERVING,NEUTRAL,RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:32:32,23453.75,,,,23592.85,23446.45,0.050,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:32:47,23454.75,,,,23592.85,23446.45,0.057,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:33:02,23456.55,,,,23592.85,23446.45,0.069,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:33:18,23450.75,,,,23592.85,23446.45,0.029,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:33:33,23448.8,,,,23592.85,23446.45,0.016,OBSERVING,NEUTRAL,RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:33:48,23452.3,,,,23592.85,23446.45,0.040,OBSERVING,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,269.28,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:34:03,23457.7,23592.85,23457.05,VERY_WIDE,23592.85,23446.45,0.077,RANGE,NEUTRAL,STRONG_RANGE,NO_TRADE,NO_TRADE:BEFORE_09:45,0.0,0,269.28,HIGH,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:BEFORE_09:45,
