Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK,ELIGIBLE,INELIGIBLE_REASON,MISSING_DAYS,FIRST_DATE,LAST_DATE,N_ROWS,SUSPECT_CORP_ACTION,instrument_key,Vol21,TS21,TS21_POS,B21,Vol63,TS63,TS63_POS,B63,Vol126,TS126,TS126_POS,B126,Vol252,TS252,TS252_POS,B252,MARKET_OUTPERFORMER,STRONG_TREND,STRONG_XS_MOMENTUM,VERY_STRONG_MOMENTUM,CORE_QUALIFIER,FINAL_QUALIFIER,pct_MR252,pct_MR126,pct_RAM252,PROVISIONAL
TTML,35.73,-0.051500,-0.191446,-0.062697,-0.375131,-0.146682,-0.758169,-0.149223,-0.920689,30.56,4.37,19.33,5.61,-0.028168,-0.178326,-0.125107,-0.363786,0.00,12.56,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE517B01013,0.351099,-0.051500,False,-0.023332,0.252511,-0.191446,False,-0.013120,0.420155,-0.062697,False,0.062410,0.407446,-0.375131,False,-0.011345,False,False,False,False,False,False,5.61,19.33,12.89,0.00
TECHM,1537.10,-0.033149,0.090451,0.147518,0.010452,-0.135126,0.342404,0.482360,0.037795,45.32,78.38,58.00,56.34,-0.009817,0.103571,0.085107,0.021797,3.00,57.01,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE669C01036,0.245317,-0.033149,False,-0.023332,0.264165,0.090451,True,-0.013120,0.305825,0.147518,True,0.062410,0.276550,0.010452,True,-0.011345,True,True,False,False,False,False,56.34,58.00,56.34,0.00
TECHNOE,1030.45,0.033602,-0.045261,-0.043755,-0.296093,0.111364,-0.135881,-0.097957,-0.746345,81.70,44.70,23.08,12.89,0.056935,-0.032141,-0.106165,-0.284748,1.00,17.96,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE285K01026,0.301736,0.033602,True,-0.023332,0.333090,-0.045261,False,-0.013120,0.446671,-0.043755,False,0.062410,0.396724,-0.296093,False,-0.011345,False,False,False,False,False,False,12.89,23.08,17.88,0.00
TEGA,1943.00,0.125333,0.082512,0.129257,-0.046474,0.228940,0.204618,0.318625,-0.132432,96.26,76.92,54.26,47.40,0.148665,0.095631,0.066847,-0.035129,3.00,50.35,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE011K01018,0.547449,0.125333,True,-0.023332,0.403246,0.082512,True,-0.013120,0.405672,0.129257,True,0.062410,0.350928,-0.046474,False,-0.011345,False,False,False,False,False,False,47.40,54.26,48.44,0.00
TEJASNET,518.30,0.017172,-0.180359,0.159897,-0.122789,0.031828,-0.423657,0.292767,-0.210095,74.01,5.41,59.46,36.38,0.040504,-0.167239,0.097487,-0.111444,2.00,47.32,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE010J01012,0.539531,0.017172,True,-0.023332,0.425719,-0.180359,False,-0.013120,0.546157,0.159897,True,0.062410,0.584446,-0.122789,False,-0.011345,False,False,False,False,False,False,36.38,59.46,44.91,0.00
TENNIND,,,,,,,,,,,,,,,,,,,,False,INSUFFICIENT_HISTORY,46,2025-11-19,2026-09-18,207,False,NSE_EQ|INE19RI01016,,,,-0.023332,,,,-0.013120,,,,0.062410,,,,-0.011345,,,,,,,,,,0.00
NIACL,187.66,0.010664,-0.072414,0.419409,-0.025295,0.011812,-0.118001,0.667257,-0.053015,70.69,35.34,85.03,52.18,0.033996,-0.059294,0.356998,-0.013950,2.00,65.49,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE470Y01017,0.902805,0.010664,True,-0.023332,0.613668,-0.072414,False,-0.013120,0.628556,0.419409,True,0.062410,0.477121,-0.025295,False,-0.011345,False,False,False,False,False,False,52.18,85.03,53.01,0.00
RAMCOCEM,869.75,-0.035968,-0.017565,-0.113405,-0.156402,-0.139089,-0.073319,-0.399264,-0.609275,43.45,51.98,10.81,30.98,-0.012635,-0.004445,-0.175815,-0.145057,0.00,21.66,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE331A01037,0.258594,-0.035968,False,-0.023332,0.239564,-0.017565,False,-0.013120,0.284034,-0.113405,False,0.062410,0.256701,-0.156402,False,-0.011345,False,False,False,False,False,False,30.98,10.81,24.74,0.00
THERMAX,3551.90,-0.117650,-0.244662,0.089807,0.062552,-0.555119,-0.672330,0.210562,0.177662,3.12,1.04,48.65,63.41,-0.094318,-0.231542,0.027397,0.073897,2.00,57.21,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE152A01029,0.211937,-0.117650,False,-0.023332,0.363902,-0.244662,False,-0.013120,0.426513,0.089807,True,0.062410,0.352086,0.062552,True,-0.011345,True,False,False,False,False,False,63.41,48.65,61.95,0.00
TIMKEN,3124.20,-0.033294,-0.153196,-0.093883,0.029628,-0.101373,-0.575923,-0.308083,0.106041,45.11,11.64,13.51,58.63,-0.009962,-0.140076,-0.156294,0.040973,1.00,40.67,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE325A01013,0.328431,-0.033294,False,-0.023332,0.266000,-0.153196,False,-0.013120,0.304734,-0.093883,False,0.062410,0.279401,0.029628,True,-0.011345,False,False,False,False,False,False,58.63,13.51,59.04,0.00
