Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK
CHENNPETRO,1416.60,-0.016455,0.290399,0.433008,0.907493,-0.032324,0.517796,0.809904,1.751055,58.21,95.84,85.65,97.30,0.006877,0.303519,0.370597,0.918838,3.00,91.89
CGCL,270.65,0.196349,0.224882,0.577490,0.470524,0.386846,0.510176,1.423402,1.341682,99.17,93.14,93.14,88.98,0.219681,0.238002,0.515080,0.481869,4.00,90.69
MOTHERSON,162.57,-0.045334,0.117013,0.434610,0.614880,-0.186405,0.400779,1.173437,1.799454,36.80,82.54,85.86,93.35,-0.022002,0.130132,0.372199,0.626225,3.00,90.64
ANANDRATHI,2229.40,0.018363,0.193788,0.451999,0.512483,0.134622,1.037070,2.215547,2.382196,74.84,90.64,87.73,90.23,0.041695,0.206908,0.389589,0.523828,4.00,90.60
ACMESOLAR,435.25,0.144190,0.289057,0.777329,0.390797,0.366510,0.836001,1.963057,1.030604,97.51,95.63,96.67,86.07,0.167522,0.302177,0.714918,0.402142,4.00,90.06
LLOYDSME,1826.70,-0.048098,0.034254,0.592312,0.401919,-0.240012,0.115139,1.711805,1.102029,34.10,68.19,93.76,86.90,-0.024766,0.047374,0.529901,0.413264,3.00,89.44
HSCL,675.35,-0.099833,0.006408,0.531927,0.421939,-0.229887,0.015197,1.275644,1.185091,6.86,60.50,92.10,87.73,-0.076501,0.019528,0.469516,0.433284,3.00,89.31
PNBHOUSING,1133.10,-0.034838,0.129711,0.477796,0.394842,-0.135047,0.506605,1.432205,1.224368,44.07,84.41,89.19,86.49,-0.011506,0.142831,0.415385,0.406187,3.00,87.73
ADANIGREEN,1334.50,0.032096,-0.111755,0.539304,0.366825,0.079182,-0.323037,1.278970,0.833744,80.04,21.00,92.31,85.03,0.055428,-0.098635,0.476894,0.378170,3.00,87.07
JINDALSAW,289.50,0.077410,0.109706,0.472009,0.429418,0.147739,0.289087,1.047400,0.909949,92.72,81.91,88.57,87.94,0.100742,0.122826,0.409598,0.440763,4.00,86.94
