date,open,high,low,close,volume,instrument_key
2025-05-13,256.5,262.8,254.8,256.3,6876054.0,NSE_EQ|INE774D01024
2025-05-14,252.3,260.3,250.1,259.65,4414787.0,NSE_EQ|INE774D01024
2025-05-15,259.05,266.35,257.75,265.35,2317177.0,NSE_EQ|INE774D01024
2025-05-16,266.35,268.75,264.6,266.95,1326473.0,NSE_EQ|INE774D01024
2025-05-19,266.3,268.9,264.15,264.9,3664939.0,NSE_EQ|INE774D01024
2025-05-20,266.0,266.3,256.95,257.7,2829461.0,NSE_EQ|INE774D01024
2025-05-21,258.9,260.85,255.8,260.25,3075538.0,NSE_EQ|INE774D01024
2025-05-22,260.25,260.7,252.45,256.1,2123448.0,NSE_EQ|INE774D01024
2025-05-23,256.2,258.0,254.25,256.1,2548660.0,NSE_EQ|INE774D01024
2025-05-26,257.0,259.4,255.65,256.5,2711747.0,NSE_EQ|INE774D01024
2025-05-27,257.8,258.8,253.4,258.2,3339407.0,NSE_EQ|INE774D01024
2025-05-28,259.7,265.9,258.5,262.8,4203063.0,NSE_EQ|INE774D01024
2025-05-29,264.75,265.1,261.05,263.1,1379534.0,NSE_EQ|INE774D01024
2025-05-30,263.1,265.0,260.05,261.1,2274253.0,NSE_EQ|INE774D01024
2025-06-02,261.1,261.3,258.6,259.85,1417968.0,NSE_EQ|INE774D01024
2025-06-03,261.0,265.95,260.5,264.0,3515584.0,NSE_EQ|INE774D01024
2025-06-04,264.35,264.5,261.15,262.35,1340460.0,NSE_EQ|INE774D01024
2025-06-05,263.5,263.5,260.7,262.65,579430.0,NSE_EQ|INE774D01024
2025-06-06,262.8,278.2,260.95,275.55,8917163.0,NSE_EQ|INE774D01024
2025-06-09,279.4,288.55,278.65,283.65,7511538.0,NSE_EQ|INE774D01024
2025-06-10,284.0,284.2,279.75,281.15,3726406.0,NSE_EQ|INE774D01024
2025-06-11,280.3,283.3,278.2,281.0,2820576.0,NSE_EQ|INE774D01024
2025-06-12,282.0,283.0,273.05,274.25,3637152.0,NSE_EQ|INE774D01024
2025-06-13,270.8,271.9,266.75,270.5,4381737.0,NSE_EQ|INE774D01024
2025-06-16,270.5,273.9,267.8,273.4,1005131.0,NSE_EQ|INE774D01024
2025-06-17,274.5,274.8,267.5,269.3,2508652.0,NSE_EQ|INE774D01024
2025-06-18,269.3,271.0,263.7,266.35,4446514.0,NSE_EQ|INE774D01024
2025-06-19,265.25,266.75,259.2,261.0,1401645.0,NSE_EQ|INE774D01024
2025-06-20,261.0,264.65,259.05,262.6,4463487.0,NSE_EQ|INE774D01024
2025-06-23,262.4,263.55,259.2,261.15,2184581.0,NSE_EQ|INE774D01024
2025-06-24,263.8,270.55,263.55,269.0,3898896.0,NSE_EQ|INE774D01024
2025-06-25,269.0,269.85,266.05,266.4,1381769.0,NSE_EQ|INE774D01024
2025-06-26,266.8,269.95,265.05,269.0,1824794.0,NSE_EQ|INE774D01024
2025-06-27,271.0,274.5,267.8,272.75,1868778.0,NSE_EQ|INE774D01024
2025-06-30,274.05,274.6,269.05,269.95,3435304.0,NSE_EQ|INE774D01024
2025-07-01,270.7,270.75,265.5,267.15,1657882.0,NSE_EQ|INE774D01024
2025-07-02,267.95,268.8,259.4,261.75,7032750.0,NSE_EQ|INE774D01024
2025-07-03,263.0,273.8,262.7,266.5,6776014.0,NSE_EQ|INE774D01024
2025-07-04,267.4,271.0,264.55,266.45,1427953.0,NSE_EQ|INE774D01024
2025-07-07,267.0,269.2,264.85,268.1,1732871.0,NSE_EQ|INE774D01024
2025-07-08,268.9,270.2,266.0,269.85,1197383.0,NSE_EQ|INE774D01024
2025-07-09,270.3,271.75,269.3,270.3,984008.0,NSE_EQ|INE774D01024
2025-07-10,271.0,271.95,265.6,267.6,1862362.0,NSE_EQ|INE774D01024
2025-07-11,267.8,268.35,264.4,265.8,1837623.0,NSE_EQ|INE774D01024
2025-07-14,266.25,268.8,265.05,268.15,2123415.0,NSE_EQ|INE774D01024
2025-07-15,264.0,266.35,262.75,265.85,1409831.0,NSE_EQ|INE774D01024
2025-07-16,264.9,265.35,262.6,264.15,1303724.0,NSE_EQ|INE774D01024
2025-07-17,264.25,265.45,261.05,261.65,2178055.0,NSE_EQ|INE774D01024
2025-07-18,263.0,263.0,258.45,259.85,2111078.0,NSE_EQ|INE774D01024
2025-07-21,260.4,263.2,257.55,262.85,1064487.0,NSE_EQ|INE774D01024
2025-07-22,264.0,267.45,259.4,265.55,6245670.0,NSE_EQ|INE774D01024
2025-07-23,266.95,266.95,257.05,259.2,6752834.0,NSE_EQ|INE774D01024
2025-07-24,260.0,260.5,255.0,259.15,3809883.0,NSE_EQ|INE774D01024
2025-07-25,257.0,258.95,252.2,253.4,3492228.0,NSE_EQ|INE774D01024
2025-07-28,253.4,254.2,247.7,249.05,4856805.0,NSE_EQ|INE774D01024
2025-07-29,250.85,252.45,246.35,251.95,3608582.0,NSE_EQ|INE774D01024
2025-07-30,255.0,258.2,254.0,257.65,6187624.0,NSE_EQ|INE774D01024
2025-07-31,256.2,259.2,250.3,257.5,6584182.0,NSE_EQ|INE774D01024
2025-08-01,256.85,261.0,255.8,258.5,2004133.0,NSE_EQ|INE774D01024
2025-08-04,258.0,259.8,253.6,258.45,1657037.0,NSE_EQ|INE774D01024
2025-08-05,258.6,260.4,255.6,256.45,751344.0,NSE_EQ|INE774D01024
2025-08-06,255.1,256.9,251.85,253.35,1020862.0,NSE_EQ|INE774D01024
2025-08-07,252.05,254.95,251.0,253.6,1038646.0,NSE_EQ|INE774D01024
2025-08-08,254.7,258.0,251.05,252.5,1093909.0,NSE_EQ|INE774D01024
2025-08-11,253.0,255.65,251.05,254.95,1058423.0,NSE_EQ|INE774D01024
2025-08-12,255.8,257.8,253.8,256.95,732466.0,NSE_EQ|INE774D01024
2025-08-13,256.95,260.9,255.3,258.85,1034201.0,NSE_EQ|INE774D01024
2025-08-14,258.85,260.25,254.65,255.1,464120.0,NSE_EQ|INE774D01024
2025-08-18,260.0,268.25,258.1,266.4,4729727.0,NSE_EQ|INE774D01024
2025-08-19,267.0,267.0,260.15,263.0,1516032.0,NSE_EQ|INE774D01024
2025-08-20,264.0,268.55,261.15,267.25,779973.0,NSE_EQ|INE774D01024
2025-08-21,269.2,269.25,260.0,260.75,1539237.0,NSE_EQ|INE774D01024
2025-08-22,260.5,265.3,260.0,263.0,772931.0,NSE_EQ|INE774D01024
2025-08-25,263.0,267.95,263.0,266.05,1195792.0,NSE_EQ|INE774D01024
2025-08-26,264.5,265.5,260.0,260.5,1395531.0,NSE_EQ|INE774D01024
2025-08-28,259.2,262.2,256.8,259.1,1796542.0,NSE_EQ|INE774D01024
2025-08-29,259.2,260.95,253.05,253.95,1067768.0,NSE_EQ|INE774D01024
2025-09-01,254.55,258.45,253.5,257.5,540770.0,NSE_EQ|INE774D01024
2025-09-02,257.5,261.8,256.0,260.7,1211010.0,NSE_EQ|INE774D01024
2025-09-03,260.0,262.9,259.35,259.7,1641931.0,NSE_EQ|INE774D01024
2025-09-04,264.65,266.4,259.45,262.9,2941695.0,NSE_EQ|INE774D01024
2025-09-05,264.25,274.0,263.0,269.3,4038577.0,NSE_EQ|INE774D01024
2025-09-08,270.0,273.85,267.0,270.85,1802919.0,NSE_EQ|INE774D01024
2025-09-09,270.9,272.7,268.1,268.95,694063.0,NSE_EQ|INE774D01024
2025-09-10,270.0,271.5,266.05,269.25,1030118.0,NSE_EQ|INE774D01024
2025-09-11,269.25,275.15,267.25,271.5,2414943.0,NSE_EQ|INE774D01024
2025-09-12,272.15,272.65,268.55,271.35,1089900.0,NSE_EQ|INE774D01024
2025-09-15,271.7,271.9,267.0,270.1,994524.0,NSE_EQ|INE774D01024
2025-09-16,269.5,279.5,269.5,278.55,3850682.0,NSE_EQ|INE774D01024
2025-09-17,277.1,282.95,276.05,282.0,2034550.0,NSE_EQ|INE774D01024
2025-09-18,283.0,290.8,280.05,285.95,4134013.0,NSE_EQ|INE774D01024
2025-09-19,287.0,291.6,284.6,289.55,2505536.0,NSE_EQ|INE774D01024
2025-09-22,290.95,292.0,285.5,290.25,1814391.0,NSE_EQ|INE774D01024
2025-09-23,289.0,289.5,282.5,282.8,761645.0,NSE_EQ|INE774D01024
2025-09-24,281.95,286.6,279.2,282.15,1439389.0,NSE_EQ|INE774D01024
2025-09-25,280.65,282.4,278.2,279.6,1553399.0,NSE_EQ|INE774D01024
2025-09-26,277.1,283.5,276.65,279.75,1766807.0,NSE_EQ|INE774D01024
2025-09-29,280.95,280.95,270.15,272.95,3095039.0,NSE_EQ|INE774D01024
2025-09-30,272.95,276.65,272.95,275.3,1018068.0,NSE_EQ|INE774D01024
2025-10-01,274.0,277.5,271.45,273.4,1874702.0,NSE_EQ|INE774D01024
2025-10-03,275.0,276.9,269.5,275.75,2037357.0,NSE_EQ|INE774D01024
2025-10-06,274.5,284.85,274.15,284.15,3106111.0,NSE_EQ|INE774D01024
2025-10-07,285.0,285.4,278.5,282.5,2623925.0,NSE_EQ|INE774D01024
2025-10-08,283.0,283.25,276.0,277.15,2294484.0,NSE_EQ|INE774D01024
2025-10-09,278.15,282.2,272.0,281.35,3242047.0,NSE_EQ|INE774D01024
2025-10-10,281.35,283.1,279.1,282.1,1031551.0,NSE_EQ|INE774D01024
2025-10-13,279.1,286.0,278.0,284.3,1484684.0,NSE_EQ|INE774D01024
2025-10-14,284.3,293.8,284.25,287.45,3325269.0,NSE_EQ|INE774D01024
2025-10-15,287.8,295.9,286.55,293.85,3274122.0,NSE_EQ|INE774D01024
2025-10-16,297.95,297.95,291.2,293.3,1693506.0,NSE_EQ|INE774D01024
2025-10-17,294.5,305.4,292.85,300.1,5708266.0,NSE_EQ|INE774D01024
2025-10-20,301.6,302.95,296.2,296.85,1792648.0,NSE_EQ|INE774D01024
2025-10-21,298.45,305.0,296.4,300.25,284086.0,NSE_EQ|INE774D01024
2025-10-23,300.25,300.35,296.55,298.2,1732797.0,NSE_EQ|INE774D01024
2025-10-24,298.0,302.6,296.75,298.15,1491924.0,NSE_EQ|INE774D01024
2025-10-27,297.0,299.6,296.25,299.1,381107.0,NSE_EQ|INE774D01024
2025-10-28,299.1,303.0,298.2,299.9,1049552.0,NSE_EQ|INE774D01024
2025-10-29,308.0,329.35,306.6,317.45,21735367.0,NSE_EQ|INE774D01024
2025-10-30,318.0,322.35,310.25,315.7,4044637.0,NSE_EQ|INE774D01024
2025-10-31,316.0,321.1,314.55,315.55,2129473.0,NSE_EQ|INE774D01024
2025-11-03,316.55,321.7,316.15,318.6,1299757.0,NSE_EQ|INE774D01024
2025-11-04,320.0,321.8,317.0,318.6,1352129.0,NSE_EQ|INE774D01024
2025-11-06,319.95,323.25,310.55,311.9,1053585.0,NSE_EQ|INE774D01024
2025-11-07,311.8,319.5,303.7,313.25,5384033.0,NSE_EQ|INE774D01024
2025-11-10,316.9,317.4,312.15,313.5,2138869.0,NSE_EQ|INE774D01024
2025-11-11,313.0,318.5,310.5,317.75,1561470.0,NSE_EQ|INE774D01024
2025-11-12,319.8,319.8,306.7,309.35,1868399.0,NSE_EQ|INE774D01024
2025-11-13,309.1,311.45,305.45,309.85,1506680.0,NSE_EQ|INE774D01024
2025-11-14,310.0,312.15,307.85,308.65,655501.0,NSE_EQ|INE774D01024
2025-11-17,310.15,314.5,308.45,314.2,840398.0,NSE_EQ|INE774D01024
2025-11-18,315.0,323.75,312.75,322.9,3817973.0,NSE_EQ|INE774D01024
