schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T12:25:40+05:30,24085.95,11.11,24085.95,24188.3,24076.85
2.1.0,2026-08-28T12:26:20+05:30,24088.05,11.13,24088.05,24188.3,24076.85
2.1.0,2026-08-28T12:26:40+05:30,24089.75,11.13,24089.75,24188.3,24076.85
2.1.0,2026-08-28T12:27:20+05:30,24092.2,11.08,24092.2,24188.3,24076.85
2.1.0,2026-08-28T12:27:40+05:30,24091.15,11.1,24091.15,24188.3,24076.85
2.1.0,2026-08-28T12:28:19+05:30,24091.95,11.1,24091.95,24188.3,24076.85
2.1.0,2026-08-28T12:28:40+05:30,24092.5,11.08,24092.5,24188.3,24076.85
2.1.0,2026-08-28T12:29:20+05:30,24093.55,11.06,24093.55,24188.3,24076.85
2.1.0,2026-08-28T12:29:40+05:30,24093.4,11.05,24093.4,24188.3,24076.85
2.1.0,2026-08-28T12:30:20+05:30,24096.8,11.0,24096.8,24188.3,24076.85
2.1.0,2026-08-28T12:30:40+05:30,24096.5,11.0,24096.5,24188.3,24076.85
2.1.0,2026-08-28T12:31:20+05:30,24095.4,10.99,24095.4,24188.3,24076.85
2.1.0,2026-08-28T12:31:40+05:30,24099.95,10.99,24099.95,24188.3,24076.85
2.1.0,2026-08-28T12:32:20+05:30,24097.85,10.99,24097.85,24188.3,24076.85
2.1.0,2026-08-28T12:32:40+05:30,24098.95,10.99,24098.95,24188.3,24076.85
2.1.0,2026-08-28T12:33:20+05:30,24101.2,10.99,24101.2,24188.3,24076.85
2.1.0,2026-08-28T12:33:39+05:30,24102.95,10.99,24102.95,24188.3,24076.85
2.1.0,2026-08-28T12:34:19+05:30,24099.3,10.98,24099.3,24188.3,24076.85
2.1.0,2026-08-28T12:34:39+05:30,24102.1,10.98,24102.1,24188.3,24076.85
2.1.0,2026-08-28T12:35:20+05:30,24101.2,10.98,24101.2,24188.3,24076.85
2.1.0,2026-08-28T12:35:40+05:30,24099.4,11.02,24099.4,24188.3,24076.85
2.1.0,2026-08-28T12:36:20+05:30,24100.95,11.0,24100.95,24188.3,24076.85
2.1.0,2026-08-28T12:36:40+05:30,24101.1,11.0,24101.1,24188.3,24076.85
2.1.0,2026-08-28T12:37:19+05:30,24105.25,10.99,24105.25,24188.3,24076.85
2.1.0,2026-08-28T12:37:40+05:30,24101.2,11.04,24101.2,24188.3,24076.85
2.1.0,2026-08-28T12:38:20+05:30,24103.4,11.02,24103.4,24188.3,24076.85
2.1.0,2026-08-28T12:38:40+05:30,24103.9,10.99,24103.9,24188.3,24076.85
2.1.0,2026-08-28T12:39:20+05:30,24105.9,10.99,24105.9,24188.3,24076.85
2.1.0,2026-08-28T12:39:39+05:30,24106.25,10.99,24106.25,24188.3,24076.85
2.1.0,2026-08-28T12:40:20+05:30,24103.95,10.99,24103.95,24188.3,24076.85
2.1.0,2026-08-28T12:40:40+05:30,24104.95,10.99,24104.95,24188.3,24076.85
2.1.0,2026-08-28T12:41:20+05:30,24106.75,10.96,24106.75,24188.3,24076.85
2.1.0,2026-08-28T12:41:39+05:30,24105.75,10.98,24105.75,24188.3,24076.85
2.1.0,2026-08-28T12:42:20+05:30,24106.65,10.98,24106.65,24188.3,24076.85
2.1.0,2026-08-28T12:42:40+05:30,24105.95,10.98,24105.95,24188.3,24076.85
2.1.0,2026-08-28T12:43:20+05:30,24106.05,10.97,24106.05,24188.3,24076.85
2.1.0,2026-08-28T12:43:40+05:30,24107.55,10.94,24107.55,24188.3,24076.85
2.1.0,2026-08-28T12:44:20+05:30,24106.15,10.99,24106.15,24188.3,24076.85
2.1.0,2026-08-28T12:44:40+05:30,24106.15,10.99,24106.15,24188.3,24076.85
2.1.0,2026-08-28T12:45:20+05:30,24102.5,10.98,24102.5,24188.3,24076.85
2.1.0,2026-08-28T12:45:39+05:30,24103.3,10.98,24103.3,24188.3,24076.85
2.1.0,2026-08-28T12:46:20+05:30,24104.1,10.99,24104.1,24188.3,24076.85
2.1.0,2026-08-28T12:46:40+05:30,24104.6,10.98,24104.6,24188.3,24076.85
2.1.0,2026-08-28T12:47:20+05:30,24106.0,10.94,24106.0,24188.3,24076.85
2.1.0,2026-08-28T12:47:39+05:30,24105.55,10.92,24105.55,24188.3,24076.85
2.1.0,2026-08-28T12:48:20+05:30,24102.55,10.96,24102.55,24188.3,24076.85
2.1.0,2026-08-28T12:48:40+05:30,24108.0,10.93,24108.0,24188.3,24076.85
2.1.0,2026-08-28T12:49:19+05:30,24107.05,10.92,24107.05,24188.3,24076.85
2.1.0,2026-08-28T12:49:40+05:30,24106.4,10.93,24106.4,24188.3,24076.85
2.1.0,2026-08-28T12:50:20+05:30,24106.95,10.93,24106.95,24188.3,24076.85
2.1.0,2026-08-28T12:50:39+05:30,24106.5,10.96,24106.5,24188.3,24076.85
2.1.0,2026-08-28T12:51:20+05:30,24106.95,10.93,24106.95,24188.3,24076.85
2.1.0,2026-08-28T12:51:40+05:30,24106.75,10.93,24106.75,24188.3,24076.85
2.1.0,2026-08-28T12:52:20+05:30,24105.85,10.92,24105.85,24188.3,24076.85
2.1.0,2026-08-28T12:52:40+05:30,24108.05,10.92,24108.05,24188.3,24076.85
2.1.0,2026-08-28T12:53:20+05:30,24109.45,10.91,24109.45,24188.3,24076.85
2.1.0,2026-08-28T12:53:40+05:30,24109.4,10.92,24109.4,24188.3,24076.85
2.1.0,2026-08-28T12:54:20+05:30,24105.45,10.92,24105.45,24188.3,24076.85
2.1.0,2026-08-28T12:54:40+05:30,24106.35,10.9,24106.35,24188.3,24076.85
2.1.0,2026-08-28T12:55:20+05:30,24103.7,10.92,24103.7,24188.3,24076.85
