schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_125403_000,2026-08-28T12:54:03+05:30,2026-08-28T12:54:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,c6fc136b204638e9,0.0,False,24107.25,0.0,False,155.9,24109.45,24107.25,3,24106.95,24122.6,24188.3,24076.85,24090.85,,,10.91,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_125503_000,2026-08-28T12:55:03+05:30,2026-08-28T12:55:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,14fdeb05c06be48b,0.0,False,24105.7,0.0,False,154.9,24106.35,24105.45,3,24105.7,24122.6,24188.3,24076.85,24090.85,,,10.92,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_125602_999,2026-08-28T12:56:02+05:30,2026-08-28T12:56:02+05:30,Asia/Kolkata,UPSTOX,2026-09-01,b9ee21ca989f9f66,0.0,False,24103.8,0.0,False,154.0,24105.7,24102.35,4,24103.6,24122.6,24188.3,24076.85,24090.85,,,10.98,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_125703_000,2026-08-28T12:57:03+05:30,2026-08-28T12:57:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,8732d7834048499a,0.0,False,24103.05,0.0,False,152.9,24103.65,24102.45,3,24103.55,24122.6,24188.3,24076.85,24090.85,,,10.93,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_125803_000,2026-08-28T12:58:03+05:30,2026-08-28T12:58:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,16be903dcdcc6166,0.0,False,24101.05,0.0,False,151.9,24102.8,24101.05,3,24101.9,24122.6,24188.3,24076.85,24090.85,,,10.98,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_125903_000,2026-08-28T12:59:03+05:30,2026-08-28T12:59:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,0b8013f3ca9bdb02,0.0,False,24100.15,0.0,False,150.9,24102.65,24100.15,3,24100.4,24122.6,24188.3,24076.85,24090.85,,,10.99,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130003_000,2026-08-28T13:00:03+05:30,2026-08-28T13:00:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,3edcbfded2aebea9,0.0,False,24098.2,0.0,False,149.9,24101.0,24097.85,3,24098.2,24122.6,24188.3,24076.85,24090.85,,,10.99,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130103_000,2026-08-28T13:01:03+05:30,2026-08-28T13:01:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,b75a816e62f9fd50,0.0,False,24097.15,0.0,False,148.9,24098.4,24097.15,3,24097.9,24122.6,24188.3,24076.85,24090.85,,,11.01,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130203_000,2026-08-28T13:02:03+05:30,2026-08-28T13:02:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,56791747ac8b34b1,0.0,False,24095.7,0.0,False,147.9,24097.3,24095.7,3,24095.65,24122.6,24188.3,24076.85,24090.85,,,11.01,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130303_001,2026-08-28T13:03:03+05:30,2026-08-28T13:03:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,0d39dc9ed0ea4908,0.0,False,24096.0,0.0,False,146.9,24096.0,24094.4,3,24095.7,24122.6,24188.3,24076.85,24090.85,,,11.02,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130403_041,2026-08-28T13:04:03+05:30,2026-08-28T13:04:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,ae5c2b4e14830452,0.0,False,24097.6,0.0,False,145.9,24097.6,24095.1,3,24097.6,24122.6,24188.3,24076.85,24090.85,,,11.0,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130503_000,2026-08-28T13:05:03+05:30,2026-08-28T13:05:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,3a9709cf82a16ab3,0.0,False,24093.5,0.0,False,144.9,24094.8,24092.7,3,24093.45,24122.6,24188.3,24076.85,24090.85,,,11.01,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130603_004,2026-08-28T13:06:03+05:30,2026-08-28T13:06:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,9fe6652661c1e73a,0.0,False,24090.75,0.0,False,143.9,24093.75,24090.75,3,24090.35,24122.6,24188.3,24076.85,24090.85,,,11.01,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130703_001,2026-08-28T13:07:03+05:30,2026-08-28T13:07:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,2c539f50d54d7f44,0.0,False,24094.25,0.0,False,142.9,24094.25,24091.0,3,24093.7,24122.6,24188.3,24076.85,24090.85,,,11.01,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130803_000,2026-08-28T13:08:03+05:30,2026-08-28T13:08:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,345ebcbd020a09a3,0.0,False,24098.95,0.0,False,141.9,24098.95,24095.05,3,24098.85,24122.6,24188.3,24076.85,24090.85,,,10.93,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_130903_004,2026-08-28T13:09:03+05:30,2026-08-28T13:09:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,99590df2c6256877,0.0,False,24098.4,0.0,False,140.9,24100.5,24098.35,3,24098.7,24122.6,24188.3,24076.85,24090.85,,,10.89,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131003_000,2026-08-28T13:10:03+05:30,2026-08-28T13:10:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,5bd521a8f8297ae2,0.0,False,24103.3,0.0,False,139.9,24103.3,24099.5,3,24103.2,24122.6,24188.3,24076.85,24090.85,,,10.85,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
