schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,nifty_last,nifty_pchange,bank_last,bank_pchange,it_last,it_pchange,fin_service_last,fin_service_pchange,fmcg_last,fmcg_pchange,auto_last,auto_pchange,metal_last,metal_pchange,pharma_last,pharma_pchange,energy_last,energy_pchange,psu_bank_last,psu_bank_pchange,realty_last,realty_pchange,midcap_select_last,midcap_select_pchange,infra_last,infra_pchange
2.1.0,20260828_113203_000,2026-08-28T11:32:03+05:30,2026-08-28T11:32:03+05:30,Asia/Kolkata,NSE,24121.95,0.13,57437.35,-0.13,31113.6,2.95,26252.5,-0.11,46867.4,-0.35,28821.6,-0.21,13434.15,0.07,26882.55,0.13,38064.9,-0.1,8575.5,-0.14,908.95,-0.07,,,9227.3,-0.11
2.1.0,20260828_113303_000,2026-08-28T11:33:03+05:30,2026-08-28T11:33:03+05:30,Asia/Kolkata,NSE,24117.7,0.11,57441.75,-0.12,31112.85,2.95,26253.45,-0.1,46849.3,-0.39,28797.45,-0.3,13432.05,0.05,26876.1,0.1,38054.5,-0.13,8577.2,-0.12,908.45,-0.13,,,9223.75,-0.15
2.1.0,20260828_113403_000,2026-08-28T11:34:03+05:30,2026-08-28T11:34:03+05:30,Asia/Kolkata,NSE,24105.95,0.06,57415.6,-0.16,31095.95,2.89,26242.05,-0.15,46826.8,-0.43,28784.7,-0.34,13427.15,0.01,26865.7,0.06,38046.25,-0.15,8571.6,-0.19,908.2,-0.15,,,9220.35,-0.19
2.1.0,20260828_113503_000,2026-08-28T11:35:03+05:30,2026-08-28T11:35:03+05:30,Asia/Kolkata,NSE,24107.8,0.07,57423.25,-0.15,31100.75,2.91,26241.45,-0.15,46832.85,-0.42,28791.35,-0.32,13429.4,0.03,26866.95,0.07,38043.4,-0.16,8572.6,-0.18,908.4,-0.13,,,9221.85,-0.17
2.1.0,20260828_113603_000,2026-08-28T11:36:03+05:30,2026-08-28T11:36:03+05:30,Asia/Kolkata,NSE,24095.1,0.02,57386.1,-0.22,31080.15,2.84,26224.7,-0.21,46824.2,-0.44,28754.65,-0.45,13421.45,-0.03,26865.3,0.06,38031.95,-0.19,8564.5,-0.27,908.25,-0.15,,,9217.4,-0.22
2.1.0,20260828_113703_000,2026-08-28T11:37:03+05:30,2026-08-28T11:37:03+05:30,Asia/Kolkata,NSE,24095.25,0.02,57385.75,-0.22,31073.2,2.82,26227.35,-0.2,46819.1,-0.45,28744.6,-0.48,13419.75,-0.04,26869.2,0.08,38047.55,-0.15,8564.9,-0.27,908.25,-0.15,,,9217.55,-0.22
2.1.0,20260828_113803_000,2026-08-28T11:38:03+05:30,2026-08-28T11:38:03+05:30,Asia/Kolkata,NSE,24100.85,0.04,57415.95,-0.16,31075.3,2.83,26241.05,-0.15,46814.25,-0.46,28746.55,-0.47,13421.7,-0.03,26860.15,0.04,38020.15,-0.22,8570.25,-0.2,908.55,-0.12,,,9219.35,-0.2
2.1.0,20260828_113903_000,2026-08-28T11:39:03+05:30,2026-08-28T11:39:03+05:30,Asia/Kolkata,NSE,24102.0,0.05,57427.2,-0.14,31042.45,2.72,26247.65,-0.13,46815.2,-0.46,28752.6,-0.45,13422.7,-0.02,26855.45,0.02,38031.85,-0.19,8571.15,-0.19,908.7,-0.1,,,9220.3,-0.19
2.1.0,20260828_114003_000,2026-08-28T11:40:03+05:30,2026-08-28T11:40:03+05:30,Asia/Kolkata,NSE,24101.8,0.05,57424.25,-0.15,31038.7,2.71,26246.85,-0.13,46810.85,-0.47,28750.2,-0.46,13424.05,-0.01,26854.75,0.02,38042.35,-0.16,8569.5,-0.21,908.95,-0.07,,,9219.75,-0.2
2.1.0,20260828_114103_000,2026-08-28T11:41:03+05:30,2026-08-28T11:41:03+05:30,Asia/Kolkata,NSE,24103.2,0.05,57433.05,-0.13,31050.9,2.75,26251.5,-0.11,46812.3,-0.46,28729.9,-0.53,13422.2,-0.02,26854.75,0.02,38041.55,-0.16,8570.85,-0.2,908.75,-0.09,,,9219.7,-0.2
2.1.0,20260828_114203_000,2026-08-28T11:42:03+05:30,2026-08-28T11:42:03+05:30,Asia/Kolkata,NSE,24102.25,0.05,57427.25,-0.14,31041.3,2.71,26248.15,-0.12,46817.2,-0.45,28716.5,-0.58,13424.7,-0.0,26855.25,0.02,38047.05,-0.15,8571.75,-0.19,908.9,-0.08,,,9221.0,-0.18
2.1.0,20260828_114302_999,2026-08-28T11:43:02+05:30,2026-08-28T11:43:02+05:30,Asia/Kolkata,NSE,24098.45,0.03,57411.95,-0.17,31042.3,2.72,26242.1,-0.15,46812.7,-0.46,28699.75,-0.64,13420.95,-0.03,26853.85,0.02,38029.45,-0.2,8569.45,-0.21,908.75,-0.09,,,9219.0,-0.2
2.1.0,20260828_114403_001,2026-08-28T11:44:03+05:30,2026-08-28T11:44:03+05:30,Asia/Kolkata,NSE,24102.8,0.05,57418.65,-0.16,31067.3,2.8,26243.4,-0.14,46793.3,-0.5,28684.45,-0.69,13419.4,-0.04,26853.2,0.02,38039.45,-0.17,8568.75,-0.22,908.3,-0.14,,,9218.9,-0.2
2.1.0,20260828_114503_001,2026-08-28T11:45:03+05:30,2026-08-28T11:45:03+05:30,Asia/Kolkata,NSE,24105.55,0.06,57437.1,-0.13,31076.9,2.83,26252.2,-0.11,46781.3,-0.53,28684.45,-0.69,13417.3,-0.06,26846.35,-0.01,38030.2,-0.19,8571.25,-0.19,908.25,-0.15,,,9219.25,-0.2
2.1.0,20260828_114603_000,2026-08-28T11:46:03+05:30,2026-08-28T11:46:03+05:30,Asia/Kolkata,NSE,24102.35,0.05,57427.15,-0.14,31085.2,2.86,26245.95,-0.13,46758.85,-0.58,28703.55,-0.62,13412.6,-0.09,26850.4,0.01,38021.75,-0.22,8570.7,-0.2,907.9,-0.19,,,9217.2,-0.22
2.1.0,20260828_114703_000,2026-08-28T11:47:03+05:30,2026-08-28T11:47:03+05:30,Asia/Kolkata,NSE,24101.15,0.04,57421.5,-0.15,31071.0,2.81,26241.9,-0.15,46765.3,-0.56,28709.3,-0.6,13412.9,-0.09,26853.1,0.02,38026.5,-0.2,8571.2,-0.19,907.85,-0.19,,,9217.85,-0.22
2.1.0,20260828_114803_000,2026-08-28T11:48:03+05:30,2026-08-28T11:48:03+05:30,Asia/Kolkata,NSE,24102.1,0.05,57419.8,-0.16,31068.35,2.8,26241.2,-0.15,46768.95,-0.56,28714.25,-0.59,13415.35,-0.07,26849.75,0.0,38038.7,-0.17,8570.2,-0.2,907.85,-0.19,,,9217.9,-0.22
2.1.0,20260828_114903_000,2026-08-28T11:49:03+05:30,2026-08-28T11:49:03+05:30,Asia/Kolkata,NSE,24103.3,0.05,57428.7,-0.14,31052.1,2.75,26246.1,-0.13,46774.6,-0.54,28725.45,-0.55,13414.65,-0.08,26846.95,-0.01,38039.15,-0.17,8573.35,-0.17,907.65,-0.21,,,9219.05,-0.2
2.1.0,20260828_115003_000,2026-08-28T11:50:03+05:30,2026-08-28T11:50:03+05:30,Asia/Kolkata,NSE,24106.85,0.07,57427.3,-0.14,31081.9,2.85,26244.45,-0.14,46771.9,-0.55,28749.45,-0.46,13410.2,-0.11,26860.8,0.04,38037.3,-0.17,8572.05,-0.18,907.1,-0.27,,,9219.45,-0.2
2.1.0,20260828_115102_999,2026-08-28T11:51:02+05:30,2026-08-28T11:51:02+05:30,Asia/Kolkata,NSE,24108.45,0.07,57435.45,-0.13,31089.75,2.87,26248.75,-0.12,46777.0,-0.54,28756.05,-0.44,13412.05,-0.1,26857.6,0.03,38027.45,-0.2,8573.15,-0.17,906.75,-0.31,,,9218.05,-0.21
2.1.0,20260828_115203_000,2026-08-28T11:52:03+05:30,2026-08-28T11:52:03+05:30,Asia/Kolkata,NSE,24105.15,0.06,57417.7,-0.16,31079.15,2.84,26243.85,-0.14,46780.55,-0.53,28750.25,-0.46,13410.25,-0.11,26858.4,0.04,38018.05,-0.23,8572.65,-0.18,906.4,-0.35,,,9218.15,-0.21
2.1.0,20260828_115303_000,2026-08-28T11:53:03+05:30,2026-08-28T11:53:03+05:30,Asia/Kolkata,NSE,24103.85,0.05,57415.3,-0.16,31087.05,2.87,26241.4,-0.15,46780.75,-0.53,28744.0,-0.48,13410.35,-0.11,26853.75,0.02,38005.4,-0.26,8570.95,-0.2,906.3,-0.36,,,9217.9,-0.22
2.1.0,20260828_115403_000,2026-08-28T11:54:03+05:30,2026-08-28T11:54:03+05:30,Asia/Kolkata,NSE,24099.25,0.03,57397.3,-0.2,31074.65,2.82,26230.45,-0.19,46779.95,-0.53,28755.05,-0.44,13409.45,-0.12,26854.0,0.02,38011.05,-0.24,8568.65,-0.22,906.4,-0.35,,,9218.25,-0.21
2.1.0,20260828_115503_000,2026-08-28T11:55:03+05:30,2026-08-28T11:55:03+05:30,Asia/Kolkata,NSE,24097.9,0.03,57405.75,-0.18,31060.95,2.78,26232.05,-0.18,46761.75,-0.57,28755.65,-0.44,13408.5,-0.12,26853.95,0.02,38007.6,-0.25,8567.4,-0.24,906.3,-0.36,,,9217.35,-0.22
2.1.0,20260828_115603_000,2026-08-28T11:56:03+05:30,2026-08-28T11:56:03+05:30,Asia/Kolkata,NSE,24096.05,0.02,57399.6,-0.19,31071.4,2.81,26230.65,-0.19,46770.05,-0.55,28744.05,-0.48,13407.25,-0.13,26846.5,-0.01,38000.4,-0.27,8566.2,-0.25,905.9,-0.41,,,9215.45,-0.24
2.1.0,20260828_115702_999,2026-08-28T11:57:02+05:30,2026-08-28T11:57:02+05:30,Asia/Kolkata,NSE,24085.25,-0.02,57361.35,-0.26,31049.25,2.74,26212.25,-0.26,46762.95,-0.57,28730.4,-0.53,13398.6,-0.2,26834.45,-0.05,37983.8,-0.32,8559.55,-0.33,905.45,-0.46,,,9212.5,-0.27
2.1.0,20260828_115803_000,2026-08-28T11:58:03+05:30,2026-08-28T11:58:03+05:30,Asia/Kolkata,NSE,24077.95,-0.05,57348.25,-0.28,31041.35,2.71,26200.8,-0.3,46754.25,-0.59,28739.5,-0.5,13397.55,-0.21,26831.65,-0.06,37977.8,-0.33,8558.8,-0.34,905.05,-0.5,,,9209.05,-0.31
2.1.0,20260828_115903_000,2026-08-28T11:59:03+05:30,2026-08-28T11:59:03+05:30,Asia/Kolkata,NSE,24085.8,-0.02,57360.4,-0.26,31062.6,2.78,26209.8,-0.27,46754.6,-0.59,28756.35,-0.44,13405.6,-0.15,26837.55,-0.04,37987.45,-0.31,8561.7,-0.3,905.3,-0.47,,,9210.65,-0.29
2.1.0,20260828_120003_000,2026-08-28T12:00:03+05:30,2026-08-28T12:00:03+05:30,Asia/Kolkata,NSE,24085.3,-0.02,57367.6,-0.25,31063.0,2.79,26211.0,-0.27,46751.55,-0.59,28759.6,-0.43,13402.1,-0.17,26835.55,-0.05,37986.85,-0.31,8563.75,-0.28,905.6,-0.44,,,9209.8,-0.3
2.1.0,20260828_120103_000,2026-08-28T12:01:03+05:30,2026-08-28T12:01:03+05:30,Asia/Kolkata,NSE,24083.55,-0.03,57363.7,-0.25,31061.75,2.78,26212.0,-0.26,46751.8,-0.59,28751.7,-0.46,13402.55,-0.17,26835.15,-0.05,37981.5,-0.32,8563.45,-0.28,905.35,-0.47,,,9209.45,-0.31
2.1.0,20260828_120203_000,2026-08-28T12:02:03+05:30,2026-08-28T12:02:03+05:30,Asia/Kolkata,NSE,24083.95,-0.03,57363.95,-0.25,31061.45,2.78,26213.95,-0.25,46760.4,-0.57,28750.6,-0.46,13403.3,-0.16,26835.55,-0.05,37977.0,-0.33,8563.6,-0.28,905.2,-0.48,,,9209.55,-0.31
2.1.0,20260828_120303_000,2026-08-28T12:03:03+05:30,2026-08-28T12:03:03+05:30,Asia/Kolkata,NSE,24084.15,-0.03,57368.85,-0.25,31057.9,2.77,26216.6,-0.24,46748.2,-0.6,28749.15,-0.47,13403.1,-0.16,26835.25,-0.05,37981.15,-0.32,8565.15,-0.26,905.25,-0.48,,,9209.5,-0.31
2.1.0,20260828_120403_000,2026-08-28T12:04:03+05:30,2026-08-28T12:04:03+05:30,Asia/Kolkata,NSE,24081.35,-0.04,57354.4,-0.27,31074.55,2.82,26211.65,-0.26,46749.2,-0.6,28744.7,-0.48,13404.05,-0.16,26827.35,-0.08,37977.6,-0.33,8564.15,-0.28,904.9,-0.52,,,9207.45,-0.33
2.1.0,20260828_120503_000,2026-08-28T12:05:03+05:30,2026-08-28T12:05:03+05:30,Asia/Kolkata,NSE,24090.55,-0.0,57378.7,-0.23,31078.45,2.84,26220.35,-0.23,46761.15,-0.57,28771.4,-0.39,13407.3,-0.13,26833.4,-0.06,37983.55,-0.32,8572.0,-0.18,906.0,-0.4,,,9212.1,-0.28
2.1.0,20260828_120603_000,2026-08-28T12:06:03+05:30,2026-08-28T12:06:03+05:30,Asia/Kolkata,NSE,24086.7,-0.02,57369.15,-0.24,31070.65,2.81,26214.95,-0.25,46770.6,-0.55,28770.65,-0.39,13406.2,-0.14,26838.05,-0.04,37976.15,-0.34,8569.6,-0.21,905.35,-0.47,,,9210.1,-0.3
2.1.0,20260828_120703_000,2026-08-28T12:07:03+05:30,2026-08-28T12:07:03+05:30,Asia/Kolkata,NSE,24090.0,-0.0,57374.85,-0.23,31085.7,2.86,26218.75,-0.24,46764.8,-0.56,28777.05,-0.37,13412.15,-0.1,26840.35,-0.03,37972.95,-0.34,8569.8,-0.21,905.35,-0.47,,,9211.0,-0.29
2.1.0,20260828_120803_000,2026-08-28T12:08:03+05:30,2026-08-28T12:08:03+05:30,Asia/Kolkata,NSE,24094.35,0.01,57384.7,-0.22,31085.35,2.86,26218.05,-0.24,46769.35,-0.56,28787.65,-0.33,13415.25,-0.07,26842.65,-0.02,37986.3,-0.31,8571.25,-0.19,905.6,-0.44,,,9213.8,-0.26
2.1.0,20260828_120903_000,2026-08-28T12:09:03+05:30,2026-08-28T12:09:03+05:30,Asia/Kolkata,NSE,24095.1,0.02,57381.7,-0.22,31104.0,2.92,26216.7,-0.24,46770.7,-0.55,28779.35,-0.36,13414.3,-0.08,26851.65,0.01,37994.25,-0.29,8570.7,-0.2,905.4,-0.46,,,9214.2,-0.26
2.1.0,20260828_121003_000,2026-08-28T12:10:03+05:30,2026-08-28T12:10:03+05:30,Asia/Kolkata,NSE,24085.9,-0.02,57352.25,-0.27,31134.15,3.02,26203.65,-0.29,46765.4,-0.56,28768.85,-0.4,13414.75,-0.08,26854.05,0.02,37983.95,-0.31,8568.05,-0.23,905.2,-0.48,,,9209.95,-0.3
2.1.0,20260828_121102_999,2026-08-28T12:11:02+05:30,2026-08-28T12:11:02+05:30,Asia/Kolkata,NSE,24083.05,-0.03,57353.6,-0.27,31119.3,2.97,26203.3,-0.29,46744.8,-0.61,28741.05,-0.49,13414.25,-0.08,26849.25,0.0,37979.1,-0.33,8566.4,-0.25,904.95,-0.51,,,9209.1,-0.31
2.1.0,20260828_121203_001,2026-08-28T12:12:03+05:30,2026-08-28T12:12:03+05:30,Asia/Kolkata,NSE,24078.65,-0.05,57336.65,-0.3,31100.25,2.91,26196.0,-0.32,46743.05,-0.61,28742.65,-0.49,13411.15,-0.1,26853.6,0.02,37972.9,-0.34,8565.1,-0.26,904.7,-0.54,,,9208.25,-0.32
2.1.0,20260828_121303_000,2026-08-28T12:13:03+05:30,2026-08-28T12:13:03+05:30,Asia/Kolkata,NSE,24080.25,-0.04,57341.55,-0.29,31091.0,2.88,26197.5,-0.32,46734.3,-0.63,28738.2,-0.5,13412.1,-0.1,26853.75,0.02,37976.1,-0.34,8565.35,-0.26,904.5,-0.56,,,9209.8,-0.3
2.1.0,20260828_121403_000,2026-08-28T12:14:03+05:30,2026-08-28T12:14:03+05:30,Asia/Kolkata,NSE,24086.1,-0.02,57353.1,-0.27,31103.45,2.92,26209.8,-0.27,46732.65,-0.63,28740.05,-0.5,13409.6,-0.12,26858.6,0.04,37966.7,-0.36,8561.5,-0.31,904.6,-0.55,,,9209.25,-0.31
2.1.0,20260828_121503_000,2026-08-28T12:15:03+05:30,2026-08-28T12:15:03+05:30,Asia/Kolkata,NSE,24086.35,-0.02,57355.4,-0.27,31090.5,2.88,26210.8,-0.27,46739.85,-0.62,28743.1,-0.49,13410.9,-0.11,26859.2,0.04,37963.8,-0.37,8564.5,-0.27,904.7,-0.54,,,9209.1,-0.31
2.1.0,20260828_121603_000,2026-08-28T12:16:03+05:30,2026-08-28T12:16:03+05:30,Asia/Kolkata,NSE,24087.6,-0.01,57361.1,-0.26,31095.4,2.89,26211.15,-0.26,46738.2,-0.62,28741.25,-0.49,13410.55,-0.11,26858.55,0.04,37967.1,-0.36,8565.1,-0.26,904.5,-0.56,,,9210.15,-0.3
2.1.0,20260828_121703_000,2026-08-28T12:17:03+05:30,2026-08-28T12:17:03+05:30,Asia/Kolkata,NSE,24086.4,-0.02,57353.45,-0.27,31104.35,2.92,26208.3,-0.28,46747.35,-0.6,28743.7,-0.48,13408.2,-0.13,26855.9,0.03,37966.35,-0.36,8563.75,-0.28,904.7,-0.54,,,9210.35,-0.3
2.1.0,20260828_121803_000,2026-08-28T12:18:03+05:30,2026-08-28T12:18:03+05:30,Asia/Kolkata,NSE,24088.25,-0.01,57350.6,-0.28,31107.25,2.93,26207.25,-0.28,46744.85,-0.61,28741.95,-0.49,13408.75,-0.12,26856.4,0.03,37969.75,-0.35,8562.75,-0.29,904.25,-0.59,,,9212.5,-0.27
2.1.0,20260828_121903_000,2026-08-28T12:19:03+05:30,2026-08-28T12:19:03+05:30,Asia/Kolkata,NSE,24089.15,-0.01,57355.85,-0.27,31100.5,2.91,26211.35,-0.26,46749.75,-0.6,28744.45,-0.48,13408.7,-0.12,26861.85,0.05,37964.95,-0.36,8564.75,-0.27,904.4,-0.57,,,9212.5,-0.27
2.1.0,20260828_122003_000,2026-08-28T12:20:03+05:30,2026-08-28T12:20:03+05:30,Asia/Kolkata,NSE,24089.4,-0.01,57356.3,-0.27,31113.0,2.95,26212.9,-0.26,46756.65,-0.58,28750.25,-0.46,13410.4,-0.11,26852.35,0.01,37961.55,-0.37,8565.15,-0.26,904.55,-0.56,,,9213.05,-0.27
2.1.0,20260828_122103_000,2026-08-28T12:21:03+05:30,2026-08-28T12:21:03+05:30,Asia/Kolkata,NSE,24093.4,0.01,57353.35,-0.27,31149.4,3.07,26213.25,-0.26,46752.9,-0.59,28745.45,-0.48,13413.65,-0.09,26853.85,0.02,37960.95,-0.38,8565.55,-0.26,904.9,-0.52,,,9214.95,-0.25
2.1.0,20260828_122203_000,2026-08-28T12:22:03+05:30,2026-08-28T12:22:03+05:30,Asia/Kolkata,NSE,24092.8,0.01,57354.75,-0.27,31148.15,3.07,26212.05,-0.26,46754.7,-0.59,28741.35,-0.49,13412.95,-0.09,26860.2,0.04,37957.35,-0.38,8566.4,-0.25,904.4,-0.57,,,9214.95,-0.25
2.1.0,20260828_122303_000,2026-08-28T12:23:03+05:30,2026-08-28T12:23:03+05:30,Asia/Kolkata,NSE,24089.7,-0.0,57347.3,-0.28,31133.15,3.02,26208.65,-0.27,46756.55,-0.58,28743.5,-0.48,13409.45,-0.12,26851.0,0.01,37960.8,-0.38,8566.15,-0.25,904.35,-0.58,,,9214.45,-0.25
2.1.0,20260828_122402_999,2026-08-28T12:24:02+05:30,2026-08-28T12:24:02+05:30,Asia/Kolkata,NSE,24084.8,-0.03,57347.0,-0.28,31125.15,2.99,26207.35,-0.28,46719.7,-0.66,28741.6,-0.49,13413.1,-0.09,26854.6,0.02,37945.2,-0.42,8566.3,-0.25,904.55,-0.56,,,9211.9,-0.28
2.1.0,20260828_122503_000,2026-08-28T12:25:03+05:30,2026-08-28T12:25:03+05:30,Asia/Kolkata,NSE,24086.9,-0.02,57342.65,-0.29,31136.9,3.03,26207.45,-0.28,46728.75,-0.64,28735.95,-0.51,13415.35,-0.07,26857.55,0.03,37942.35,-0.42,8565.5,-0.26,904.8,-0.53,,,9211.45,-0.29
2.1.0,20260828_122603_000,2026-08-28T12:26:03+05:30,2026-08-28T12:26:03+05:30,Asia/Kolkata,NSE,24088.6,-0.01,57344.9,-0.29,31147.9,3.07,26212.1,-0.26,46726.6,-0.65,28743.7,-0.48,13415.1,-0.08,26861.15,0.05,37942.85,-0.42,8566.15,-0.25,904.9,-0.52,,,9212.85,-0.27
2.1.0,20260828_122703_000,2026-08-28T12:27:03+05:30,2026-08-28T12:27:03+05:30,Asia/Kolkata,NSE,24091.15,0.0,57350.75,-0.28,31149.3,3.07,26215.3,-0.25,46727.6,-0.64,28742.1,-0.49,13413.7,-0.09,26859.0,0.04,37944.45,-0.42,8567.55,-0.24,904.8,-0.53,,,9213.85,-0.26
